,sensor1,sensor2,sensor3,sensor4,烟道层温,车道层温,水位
2015-08-24 10:03:59.616,-17.90268742506241,-25.074985623254236,-32.92414775660299,-81.24177099866202,1.1548139999999982,3.4955440000000024,1.049999999999999
2015-08-25 10:03:59.616,-20.434045861591063,-26.092446536463573,-37.226898864740534,-87.49795527051549,0.5376580000000004,2.608550000000001,1.0600000000000005
2015-08-26 10:03:59.616,-19.464641950015306,-25.474430153515428,-39.17703549638049,-85.52342811613745,0.6659839999999981,3.2091980000000007,1.0600000000000005
2015-08-27 10:03:59.616,-18.763340887744427,-25.286812559893775,-40.76778412949199,-85.05141712985002,0.827178,3.4583740000000027,1.049999999999999
2015-08-28 10:03:59.616,-18.33335849887808,-24.710167572284636,-40.83429000456894,-84.91053234399645,0.9869679999999974,3.6919840000000015,1.0299999999999994
2015-08-29 10:03:59.616,-18.30838133754444,-24.581015550511857,-40.03449689934909,-85.45274272050167,0.7237839999999984,2.839782000000003,1.070000000000002
2015-08-30 10:03:59.616,-18.057113737276175,-25.041208564504252,-39.56561511211808,-85.29449973875671,0.7872299999999974,3.04007,1.1300000000000008
2015-08-31 10:03:59.616,-18.909821876680216,-24.177365921255806,-39.951778519882716,-84.21246499573229,1.0226439999999997,3.712337999999999,1.1500000000000004
2015-09-01 10:03:59.616,-18.733604903886835,-24.480544137788712,-40.09049731172904,-84.38355906485359,0.9455559999999998,3.222748000000003,1.209999999999999
2015-09-02 10:03:59.616,-18.00947389256092,-25.135113520531455,-42.98549268477865,-83.12682920045627,1.2158499999999997,3.7626020000000047,1.2200000000000006
2015-09-03 10:03:59.616,-18.873406672474573,-24.992263613599942,-46.99009754285791,-86.53535199876585,0.7582999999999984,2.3669420000000017,1.1899999999999995
2015-09-04 10:03:59.616,-18.77436323621147,-25.004525439422014,-44.89107839248837,-85.5117799918192,0.900663999999999,2.998260000000002,1.2200000000000006
2015-09-05 10:03:59.616,-18.26816171275214,-24.909125875802676,-38.91233059818617,-85.38369154326656,0.8370040000000003,1.9370120000000028,1.290000000000001
2015-09-06 10:03:59.616,-18.72635697529079,-24.186727619228932,-36.563662727329636,-84.60752790290024,0.9195239999999991,3.2076100000000025,1.320000000000002
2015-09-07 10:03:59.616,-19.01335998953114,-24.252946233029242,-38.619668550992024,-85.50322796798694,0.8386219999999973,2.5811160000000015,1.320000000000002
2015-09-08 10:03:59.616,-20.233183692393414,-25.317406116622404,-42.99018118752814,-87.67828004236293,0.5466300000000004,2.674652000000002,1.299999999999999
2015-09-09 10:03:59.616,-20.922760304713734,-25.458628069028236,-45.46621319659183,-87.68316854323591,0.6395859999999978,2.8914180000000016,1.3100000000000005
2015-09-10 10:03:59.616,-20.762145080524043,-25.629172658867162,-47.82578850430113,-87.54805173905501,0.7335499999999975,2.7343740000000025,1.3600000000000012
2015-09-11 10:03:59.616,-20.834969097580792,-26.67810271982918,-50.70344825162246,-88.4733639150957,0.645384,2.4317920000000015,1.459999999999999
2015-09-12 10:03:59.616,-21.74668423467149,-28.479236607946127,-54.56600171005708,-90.96057789980337,-0.005432000000002546,0.0560299999999998,1.58
2015-09-13 10:03:59.616,-25.111426101803538,-30.69377886527677,-61.53468257077209,-93.42172847571217,-0.38580400000000026,-0.10137999999999892,1.7400000000000002
2015-09-14 10:03:59.616,-29.3631737499974,-32.64910141876154,-68.3985029768801,-96.18751639910863,-0.4592300000000016,0.3871460000000013,1.8699999999999992
2015-09-15 10:03:59.616,-30.253127889988612,-33.32494373943887,-71.4402085292997,-96.4390236884636,-0.3910220000000031,0.7064500000000002,1.950000000000001
2015-09-16 10:03:59.616,-31.831684806079693,-33.9520331367574,-73.6042679436579,-97.18680950168363,-0.3927000000000014,0.8152760000000008,1.959999999999999
2015-09-17 10:03:59.616,-31.69710795216369,-33.67252405509788,-73.11208077208738,-96.97796480173837,-0.35409600000000196,0.6909780000000012,1.8899999999999988
2015-09-18 10:03:59.616,-30.85482565192846,-34.35749740254319,-72.63575460442378,-97.71328700377354,-0.5462660000000028,-0.6620479999999986,1.790000000000001
2015-09-19 10:03:59.616,-31.188120684952068,-35.9047084878017,-67.11239668344362,-95.72239027572253,-1.191834,-1.6714179999999992,1.7599999999999998
2015-09-20 10:03:59.616,-34.23884632315358,-36.520246479730524,-67.39273351637974,-96.7526148811775,-1.071900000000003,-0.9063419999999986,1.7799999999999994
2015-09-21 10:03:59.616,-35.97874326872291,-36.76324541621196,-67.93949041215541,-97.51488544548852,-0.783844000000002,0.5385120000000008,1.820000000000002
2015-09-22 10:03:59.616,-36.219900914798195,-37.25154779144435,-68.64039053753368,-98.32840050796884,-0.6023880000000013,1.016814,1.8699999999999992
2015-09-23 10:03:59.616,-35.547533749020594,-37.413843054906806,-65.6530295709499,-99.48150229156973,-0.8532420000000016,-0.08828799999999859,1.8699999999999992
2015-09-24 10:03:59.616,-36.37691101534475,-37.47822892949519,-63.14276531753048,-99.4257043958349,-0.8077700000000014,0.4978940000000023,1.8499999999999996
2015-09-25 10:03:59.616,-34.36160076068113,-38.32283676535734,-59.45978313338156,-96.84103555352918,-1.3885500000000022,-1.488463999999997,1.8100000000000005
2015-09-26 10:03:59.616,-38.14633992256848,-39.991346410367605,-60.81844497800651,-98.74236077089213,-1.4199540000000006,-0.5942079999999983,1.8100000000000005
2015-09-27 10:03:59.616,-39.81831554601194,-40.22840940306507,-60.755634612445064,-99.98866896307365,-1.339296000000001,0.09179600000000221,1.799999999999999
2015-09-28 10:03:59.616,-40.538076533364254,-38.66473286996373,-60.82436926143255,-99.61257465039681,-0.9938980000000015,0.8075260000000029,1.7299999999999986
2015-09-29 10:03:59.616,-38.593365278449326,-38.863703643162594,-64.94444954285791,-101.7895850440787,-0.8029480000000007,0.32760600000000295,1.6100000000000012
2015-09-30 10:03:59.616,-37.08161140286334,-38.01969602510966,-63.433988105416,-100.76967079681347,-0.900544,-0.3717659999999974,1.459999999999999
2015-10-01 10:03:59.616,-36.571168232994516,-39.06740051241935,-63.15517185511942,-99.82691347916214,-1.5337840000000007,-1.4802559999999971,1.42
2015-10-02 10:03:59.616,-40.15924320783871,-41.34608467631287,-73.23850737354097,-103.01639956043383,-2.0596940000000004,-2.2287299999999988,1.3600000000000012
2015-10-03 10:03:59.616,-42.125590073206254,-42.76390597208594,-80.14029768074134,-104.02915120523032,-2.0014660000000006,-2.1156919999999992,1.2700000000000014
2015-10-04 10:03:59.616,-43.878174419408246,-43.14444716736132,-83.92229347356232,-105.45534141652989,-1.8566600000000015,-1.3729559999999985,1.1300000000000008
2015-10-05 10:03:59.616,-41.727678145404724,-42.75505186674152,-82.44611842328143,-105.00422658653517,-2.050324,-2.6813959999999994,0.9500000000000011
2015-10-06 10:03:59.616,-42.313401316226745,-42.82546505059068,-78.7223926540243,-104.0978498182026,-2.2432860000000012,-3.408296,0.7999999999999989
2015-10-07 10:03:59.616,-44.059881188344484,-43.43303843056209,-72.52233220052221,-102.03583497029686,-2.4483340000000027,-3.1864019999999975,0.7999999999999989
2015-10-08 10:03:59.616,-44.05623551066927,-44.139366003585415,-69.85705261139287,-102.67674252581654,-2.624208000000003,-3.2178659999999972,0.7500000000000018
2015-10-09 10:03:59.616,-45.24638738609351,-45.35662420190499,-74.94223191693706,-104.35775572293878,-2.790802000000003,-3.3829659999999997,0.7700000000000014
2015-10-10 10:03:59.616,-49.524652954413405,-47.190396354347634,-82.59060793902833,-106.73332851346274,-2.8093579999999996,-3.0371099999999984,0.8400000000000016
2015-10-11 10:03:59.616,-50.819034427326116,-48.41561463845226,-85.30802741617096,-108.42975533678239,-2.8588580000000015,-2.9267579999999995,0.8600000000000012
2015-10-12 10:03:59.616,-50.28235067945418,-48.06179930103034,-86.2057879398667,-109.02610633286875,-2.839508000000002,-3.076751999999999,0.8200000000000021
2015-10-13 10:03:59.616,-50.853050678487904,-48.245982497965514,-89.4284745902294,-109.94440818196212,-2.9333799999999997,-2.940337999999997,0.7099999999999991
2015-10-14 10:03:59.616,-52.55033368779358,-48.275828335912465,-91.53735956025557,-110.18319997623205,-2.7853100000000026,-2.352325999999998,0.5700000000000021
2015-10-15 10:03:59.616,-51.581006959593296,-48.09100289064474,-92.02962876292762,-109.91915956914441,-2.737152000000002,-2.3399959999999993,0.4300000000000015
2015-10-16 10:03:59.616,-50.85461655876945,-46.91115927930835,-89.49633014128375,-109.6441464946164,-2.4625260000000004,-1.747283999999997,0.27000000000000135
2015-10-17 10:03:59.616,-50.12365854323218,-46.91078837754382,-90.0878862157038,-109.21742876087362,-2.800598000000001,-2.4116219999999977,0.09999999999999964
2015-10-18 10:03:59.616,-49.71019723286944,-46.50912493248528,-90.71683215198208,-108.88473846354842,-2.650514000000001,-2.2680659999999975,-0.06999999999999851
2015-10-19 10:03:59.616,-49.949107242910756,-45.76957580036385,-90.61666886239487,-108.36583268604045,-2.4521180000000022,-1.7098699999999987,-0.20999999999999908
2015-10-20 10:03:59.616,-48.72992414863902,-45.76701557124588,-92.35645295685751,-108.60767765855428,-2.562928000000003,-2.223236,-0.3199999999999985
2015-10-21 10:03:59.616,-48.65009942419027,-45.48939035724493,-91.453397858675,-108.20448429452233,-2.6742559999999997,-2.388977999999998,-0.4599999999999991
2015-10-22 10:03:59.616,-48.41888788476819,-44.879878443501504,-90.4081201694328,-107.24736531337399,-2.5305479999999996,-2.1317759999999986,-0.6100000000000012
2015-10-23 10:03:59.616,-47.446543534995875,-44.16937986008219,-89.25690268864048,-107.23364061415506,-2.6370240000000003,-2.570953999999997,-0.8600000000000012
2015-10-24 10:03:59.616,-47.007080245442005,-43.876917638143006,-88.24726346478025,-105.86909181322952,-2.703278000000001,-2.6564339999999973,-1.1300000000000008
2015-10-25 10:03:59.616,-46.48698241489733,-43.38278920364813,-85.18483512953046,-105.45551652545498,-2.7184160000000013,-2.2624819999999985,-1.4000000000000004
2015-10-26 10:03:59.616,-44.69738551156924,-41.941744239922166,-80.33719525091344,-103.56707623823615,-2.4729920000000014,-2.4685679999999977,-1.6599999999999984
2015-10-27 10:03:59.616,-40.6389652466237,-43.22299442330365,-83.54026031583982,-98.57661410417587,-3.6653459999999995,-5.625853999999997,-1.9700000000000006
2015-10-28 10:03:59.616,-46.15177663570771,-44.918128476189565,-90.2030297494978,-101.62322237989423,-3.695710000000002,-4.9554139999999975,-2.179999999999998
2015-10-29 10:03:59.616,-44.152847395640705,-46.07882025881493,-91.12321593503094,-101.04146555909328,-4.066682,-6.644043999999997,-2.360000000000001
2015-10-30 10:03:59.616,-47.46101064230256,-47.51719808209067,-89.87658955243256,-99.49392683763728,-4.617096,-7.062163999999999,-2.4799999999999986
2015-10-31 10:03:59.616,-50.21244883828549,-50.00343969285873,-93.47208996687493,-103.19660546696313,-4.882080000000002,-7.388641999999997,-2.4799999999999986
2015-11-01 10:03:59.616,-53.877693804010704,-52.234481329766936,-100.10552283910351,-105.83491545231931,-5.215394,-8.108367999999999,-2.299999999999999
2015-11-02 10:03:59.616,-57.8729731846173,-54.75076579376308,-104.70586156045803,-108.6687186604851,-5.203004,-7.268677999999998,-2.0200000000000014
2015-11-03 10:03:59.616,-60.61610840042812,-56.67343896740596,-108.41441315166841,-111.5258992317568,-5.360536,-7.218048,-1.7799999999999994
2015-11-04 10:03:59.616,-63.441247681098694,-57.81667788483939,-109.55555823542153,-113.69345447084717,-5.0989080000000016,-6.692473999999997,-1.6100000000000012
2015-11-05 10:03:59.616,-65.56130171068932,-58.28431393264126,-107.19667734957376,-114.49058116146864,-5.059816000000001,-5.979156,-1.4799999999999986
2015-11-06 10:03:59.616,-67.49260874472155,-57.630543505913224,-102.07616780776098,-114.9084798777265,-4.651154000000002,-4.084563999999997,-1.3899999999999988
2015-11-07 10:03:59.616,-59.18064584817955,-58.26573677581444,-102.14322582568686,-110.39949701915546,-5.602662000000002,-9.348389999999998,-1.4000000000000004
2015-11-08 10:03:59.616,-63.35314911485133,-61.240227622956084,-108.76752507535537,-112.93147358959264,-6.1103520000000024,-9.971162,-1.4399999999999995
2015-11-09 10:03:59.616,-65.39573189620106,-62.951776365457526,-112.22854669437339,-113.46938988089934,-6.361664000000001,-9.692841999999999,-1.5099999999999998
2015-11-10 10:03:59.616,-68.7504127276631,-64.63362780187157,-114.81624515724113,-117.28263588167664,-6.408998,-9.588135999999999,-1.6300000000000008
2015-11-11 10:03:59.616,-70.21905298849937,-65.4483462809946,-115.8994224279406,-116.58612094070686,-6.680268000000002,-9.770204,-1.7299999999999986
2015-11-12 10:03:59.616,-71.96466186818458,-66.2589418008162,-115.78085820613589,-117.8643706791328,-6.725770000000001,-10.445435999999997,-1.8100000000000005
2015-11-13 10:03:59.616,-74.24820968478429,-67.56317520615528,-114.83513948535605,-118.01978563240662,-7.016724,-9.987395999999997,-1.700000000000001
2015-11-14 10:03:59.616,-77.48269435680889,-69.46423446092606,-116.01027463075748,-120.64661814851914,-7.069734,-9.416747999999998,-1.3899999999999988
2015-11-15 10:03:59.616,-82.84480370032425,-71.37304914375201,-117.94823853710011,-123.63913369202238,-6.874696,-8.500062,-0.9099999999999984
2015-11-16 10:03:59.616,-83.26126898006308,-72.36953934089728,-115.96846464238408,-125.94335652138653,-6.73462,-8.576936,-0.40000000000000036
2015-11-17 10:03:59.616,-84.78509351221135,-73.68787172471778,-116.49557129324194,-127.31301096482338,-6.862886,-9.266113999999998,0.009999999999999787
2015-11-18 10:03:59.616,-85.21563823402799,-75.40113431428215,-116.1708295539016,-126.41231048222187,-7.278108,-10.323761999999999,0.3100000000000005
2015-11-19 10:03:59.616,-87.83473184299226,-77.76228833188583,-119.29999902713823,-129.0744183339492,-7.476472000000001,-10.210571999999999,0.5200000000000014
2015-11-20 10:03:59.616,-89.29257446614608,-79.59832323491632,-120.18359544168997,-130.72639300663806,-7.657350000000001,-10.378539999999997,0.7700000000000014
2015-11-21 10:03:59.616,-93.73917171430887,-80.26407186420172,-119.86617933147643,-133.4469502112291,-7.483064000000002,-9.24701,0.9100000000000019
2015-11-22 10:03:59.616,-94.56457672835724,-80.39909838936795,-118.21723118485696,-134.01179547660286,-7.275514000000001,-8.783386,0.9599999999999991
2015-11-23 10:03:59.616,-88.36145912654762,-80.8560125079348,-119.0233756417265,-130.9797397691403,-7.942902,-11.981383999999998,0.8600000000000012
2015-11-24 10:03:59.616,-91.10556202031464,-82.22320968833483,-123.52471721791653,-128.841809275434,-8.444978000000003,-13.582061999999999,0.7000000000000011
2015-11-25 10:03:59.616,-87.73782870500702,-86.42328090797507,-128.76200885105752,-126.8408057392633,-9.693056000000002,-15.880738,0.5400000000000009
2015-11-26 10:03:59.616,-96.67916861684509,-88.70951102569529,-134.02719578432553,-130.6788723627488,-9.853944000000002,-14.635925999999998,0.3899999999999988
2015-11-27 10:03:59.616,-97.81245466551024,-90.48671305136081,-139.34018312852487,-133.94490221942908,-10.102936,-14.866209999999999,0.1899999999999995
2015-11-28 10:03:59.616,-107.42288356863433,-91.342522462585,-142.43406501718636,-138.54985835243184,-9.719544000000003,-13.253111999999998,-0.040000000000000924
2015-11-29 10:03:59.616,-104.92655791666404,-91.06688989088175,-141.3363153089903,-138.33625125257856,-9.677246,-13.356047999999998,-0.3199999999999985
2015-11-30 10:03:59.616,-103.51851152288762,-90.30212358368333,-139.05990376668223,-137.90645247474882,-9.610292000000001,-12.695587999999999,-0.6199999999999992
2015-12-01 10:03:59.616,-106.45863726600285,-89.63431851976078,-137.26026643770498,-138.7371282998475,-9.458864000000002,-11.874907999999998,-0.9199999999999999
2015-12-02 10:03:59.616,-104.81176942396185,-88.5860921750397,-135.20219002673522,-137.58003792845426,-9.382782000000002,-11.645933999999997,-1.1899999999999995
